Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  53      7      3          0            0             0.07       2.87
  53      8      1          0            0             0.07       2.51
  53      9      5          1            0             0.12       2.60
  53     10      4          1            1             0.04       2.56
  53     11      6          1            1             0.04       3.01
  53     12      2          1            1             0.04       2.75
  54      1      8          0            0             0.07       2.81
  54      2     12          1            0             0.12       2.72
  54      3      7          0            0             0.07       3.20
  54      4     10          0            1             0.00       2.47
  54      5      9          1            1             0.04       2.54
  54      6     11          1            1             0.04       2.88
  54      7      3          0            0             0.07       2.94
  54      8      1          0            0             0.07       2.58
  54      9      5          1            1             0.04       2.64
  54     10      4          1            0             0.12       2.68
  54     11      6          1            1             0.04       3.05
  54     12      2          0            1             0.00       2.75
  55      1      8          0            0             0.07       2.88
  55      2     12          1            1             0.04       2.76
  55      3      7          0            0             0.07       3.27
  55      4     10          0            1             0.00       2.47
  55      5      9          1            1             0.04       2.58
  55      6     11          1            1             0.04       2.92
  55      7      3          0            0             0.07       3.01
  55      8      1          0            0             0.07       2.65
  55      9      5          1            1             0.04       2.68
  55     10      4          1            0             0.12       2.80
  55     11      6          1            1             0.04       3.09
  55     12      2          1            1             0.04       2.79
  56      1      8          0            0             0.07       2.95
  56      2     12          1            1             0.04       2.80
  56      3      7          0            0             0.07       3.34
  56      4     10          1            1             0.04       2.51
  56      5      9          1            1             0.04       2.62
  56      6     11          1            1             0.04       2.96
  56      7      3          0            0             0.07       3.08
  56      8      1          0            0             0.07       2.72
  56      9      5          1            1             0.04       2.72
  56     10      4          1            1             0.04       2.84
  56     11      6          1            1             0.04       3.13
  56     12      2          1            1             0.04       2.83
  57      1      8          0            0             0.07       3.02
  57      2     12          1            1             0.04       2.84
  57      3      7          1            0             0.12       3.46
  57      4     10          1            1             0.04       2.55
  57      5      9          1            1             0.04       2.66
  57      6     11          1            1             0.04       3.00
  57      7      3          0            1             0.00       3.08
  57      8      1          0            0             0.07       2.79
  57      9      5          1            1             0.04       2.76
  57     10      4          1            1             0.04       2.88
  57     11      6          1            1             0.04       3.17
  57     12      2          1            1             0.04       2.87
  58      1      8          0            0             0.07       3.09
  58      2     12          1            1             0.04       2.88
  58      3      7          0            1             0.00       3.46
  58      4     10          1            1             0.04       2.59
  58      5      9          0            1             0.00       2.66
  58      6     11          1            1             0.04       3.04
  58      7      3          1            0             0.12       3.20
  58      8      1          0            0             0.07       2.86
  58      9      5          1            0             0.12       2.88
  58     10      4          1            1             0.04       2.92
  58     11      6          1            1             0.04       3.21
  58     12      2          1            1             0.04       2.91
  59      1      8          0            0             0.07       3.16
  59      2     12          1            1             0.04       2.92
  59      3      7          0            1             0.00       3.46
  59      4     10          1            1             0.04       2.63
  59      5      9          1            1             0.04       2.70
  59      6     11          1            1             0.04       3.08
  59      7      3          1            0             0.12       3.32
  59      8      1          0            0             0.07       2.93
